course_id,skill_id
fd7f160b-d24b-4d54-963c-ec5f364869da,4352cf79-2000-4b4c-a3be-724e8a896174
b26daf8f-6044-49d8-ae67-05f917958d40,4352cf79-2000-4b4c-a3be-724e8a896174
b26daf8f-6044-49d8-ae67-05f917958d40,899f6441-4496-4d57-8cd5-c588956f561b
80cd8535-077e-447a-bcd9-f9ed32fd175d,16c46e6c-223b-4521-8b6e-02686312ccaf
80cd8535-077e-447a-bcd9-f9ed32fd175d,ac46e3ce-936e-43f1-a213-76616dcd4393
a4005214-fea8-46f4-8b95-1e4ff4820aa0,2b58d681-8e55-478e-b141-3aff29cad0fd
a4005214-fea8-46f4-8b95-1e4ff4820aa0,62fda3ec-9eef-430c-8a1e-fca3eb205e79
a4005214-fea8-46f4-8b95-1e4ff4820aa0,a0dc6906-6dba-4293-8320-6bf9ef5af941
a4005214-fea8-46f4-8b95-1e4ff4820aa0,d4783fea-e915-4f1a-9245-14a93e2d68b5
ee16a668-6361-4736-9b8c-c789ba6e20ab,178a2f9f-6d15-485e-a684-dcab469fb886
d49f2b1e-7162-4fc3-867b-cc27977a3534,29712980-fb4c-494d-8317-1defb0da8b25
d49f2b1e-7162-4fc3-867b-cc27977a3534,178a2f9f-6d15-485e-a684-dcab469fb886
81dd0ee3-e10b-4101-8dff-4519feb3505e,bd2dd30e-5753-4684-ad8b-defec1f4c6d6
81dd0ee3-e10b-4101-8dff-4519feb3505e,e57a355f-4909-42b1-acf3-ae3970d39423
f302fe3e-31c5-4915-808e-410a682f704c,69c4b374-e0f9-4322-916c-fc2aca8c7c53
f302fe3e-31c5-4915-808e-410a682f704c,4352cf79-2000-4b4c-a3be-724e8a896174
f302fe3e-31c5-4915-808e-410a682f704c,bdb9b5da-2b2d-408a-9e77-aa304dbf61a8
a22d4dfa-88e7-4c75-999f-69e52a13f304,69c4b374-e0f9-4322-916c-fc2aca8c7c53
a22d4dfa-88e7-4c75-999f-69e52a13f304,d8820b57-4f6d-4ea5-908e-9865e6db8b1f
a22d4dfa-88e7-4c75-999f-69e52a13f304,4352cf79-2000-4b4c-a3be-724e8a896174
3a78d3a8-767b-4c57-ad89-199033ebade5,f71aa9bb-68bb-4bdd-a6db-f3f3d5724369
3a78d3a8-767b-4c57-ad89-199033ebade5,88bf48ab-bb09-42e3-9197-986f064d2252
3a78d3a8-767b-4c57-ad89-199033ebade5,61f83cd2-f4c7-4893-92f6-11580979700b
9eb91b97-0a69-4a72-b322-fe27e3bba47d,178a2f9f-6d15-485e-a684-dcab469fb886
9eb91b97-0a69-4a72-b322-fe27e3bba47d,69c4b374-e0f9-4322-916c-fc2aca8c7c53
9eb91b97-0a69-4a72-b322-fe27e3bba47d,93d3bd3d-b72f-4062-a983-f92e0f17d667
403cef52-903e-4e6b-8020-8a1073931942,df73d56b-0da5-4af6-831f-1b98b9250f00
403cef52-903e-4e6b-8020-8a1073931942,e1c7b39f-812a-455c-b6fa-e042fc05f092
60a64b4d-267c-4019-a4ad-d360e6ac7cfa,3f040b2d-7d14-49cc-92c9-b3896ffd4699
60a64b4d-267c-4019-a4ad-d360e6ac7cfa,5ace71b6-12ce-4046-b359-157b455cd14d
60a64b4d-267c-4019-a4ad-d360e6ac7cfa,8550a797-0b53-4eea-8f6a-6715159af69e
c2728de9-c43e-4c45-a8e7-851c9646b3d9,d8619e4c-70e2-4d9d-acab-8a4ec2af3842
c2728de9-c43e-4c45-a8e7-851c9646b3d9,df2c653a-8a63-42ba-b708-bfad266615da
c2728de9-c43e-4c45-a8e7-851c9646b3d9,98f1008a-dbc3-4ead-9486-a5e85a66c961
c5214322-4a8b-4d12-9c14-cf5359e47ac6,118c74f7-930b-487f-8325-08223167ab57
c5214322-4a8b-4d12-9c14-cf5359e47ac6,f4870654-1f95-42fe-9c57-96db41d2382d
b9577610-7cbc-4051-b5e3-027a5b1b134f,b025b85f-b3d4-4444-ab2d-66352c31426b
b9577610-7cbc-4051-b5e3-027a5b1b134f,5e096574-8e3e-4068-916c-83807ed7f9a8
b9577610-7cbc-4051-b5e3-027a5b1b134f,27b67913-3fc7-415f-a8c1-bf16d08e5571
f9fa5aa5-5d68-4596-b292-a0a88494e966,6c268b76-4bcf-48ef-85e3-c692f6f7fc75
f9fa5aa5-5d68-4596-b292-a0a88494e966,e5fff664-8a14-4eca-be8f-a782ba8cfa96
f9fa5aa5-5d68-4596-b292-a0a88494e966,22163dd5-3390-4046-9b40-62efbb00f353
b821b3d2-19c4-4502-9801-72d436fccf1d,899f6441-4496-4d57-8cd5-c588956f561b
b821b3d2-19c4-4502-9801-72d436fccf1d,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2
b821b3d2-19c4-4502-9801-72d436fccf1d,e238b602-79c8-4c56-ab25-001821ec32d9
c92f47ae-6c01-4fae-8adc-2d882a1973d0,e5f1aba6-b645-4ba0-80dd-1a0d184c470d
c92f47ae-6c01-4fae-8adc-2d882a1973d0,7207a95f-51be-4fbd-ae8f-31fc77f43ffb
c92f47ae-6c01-4fae-8adc-2d882a1973d0,16c46e6c-223b-4521-8b6e-02686312ccaf
11274be8-4079-4d01-ad85-e863226d9b7b,cbd94fcb-d158-472a-97a4-e7aa8efb09b7
11274be8-4079-4d01-ad85-e863226d9b7b,1f82e66e-3f1d-4f9c-a3c3-fe70ef440608
