role_id,skill_id,required_level,importance,is_critical
ad25a7ae-6f52-401e-9428-6ca36523a8df,2b58d681-8e55-478e-b141-3aff29cad0fd,4,1.5,True
ad25a7ae-6f52-401e-9428-6ca36523a8df,62fda3ec-9eef-430c-8a1e-fca3eb205e79,4,1.5,True
ad25a7ae-6f52-401e-9428-6ca36523a8df,a0dc6906-6dba-4293-8320-6bf9ef5af941,4,1.0,False
ad25a7ae-6f52-401e-9428-6ca36523a8df,d4783fea-e915-4f1a-9245-14a93e2d68b5,4,1.0,False
ad25a7ae-6f52-401e-9428-6ca36523a8df,a77d6c17-a31e-49fe-ac9f-7bf36800ccf0,3,1.2,False
ad25a7ae-6f52-401e-9428-6ca36523a8df,488fe6e6-6184-4e1a-962c-149b2aac1dc6,3,1.0,False
ad25a7ae-6f52-401e-9428-6ca36523a8df,13229b41-a1f2-4d2f-91a3-cb4638ce4cef,3,1.0,False
75c250d6-2771-4448-95bd-80fe2e18df55,4352cf79-2000-4b4c-a3be-724e8a896174,4,1.5,True
75c250d6-2771-4448-95bd-80fe2e18df55,899f6441-4496-4d57-8cd5-c588956f561b,4,1.5,True
75c250d6-2771-4448-95bd-80fe2e18df55,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,4,1.2,True
75c250d6-2771-4448-95bd-80fe2e18df55,16c46e6c-223b-4521-8b6e-02686312ccaf,3,1.2,True
75c250d6-2771-4448-95bd-80fe2e18df55,ac46e3ce-936e-43f1-a213-76616dcd4393,3,1.0,False
75c250d6-2771-4448-95bd-80fe2e18df55,178a2f9f-6d15-485e-a684-dcab469fb886,3,1.0,False
75c250d6-2771-4448-95bd-80fe2e18df55,488fe6e6-6184-4e1a-962c-149b2aac1dc6,4,1.0,False
75c250d6-2771-4448-95bd-80fe2e18df55,13229b41-a1f2-4d2f-91a3-cb4638ce4cef,4,1.0,False
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,2b58d681-8e55-478e-b141-3aff29cad0fd,4,1.2,True
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,582f5336-44d1-44f8-bcca-c9db9972324f,3,1.2,True
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,62fda3ec-9eef-430c-8a1e-fca3eb205e79,4,1.2,True
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,16c46e6c-223b-4521-8b6e-02686312ccaf,3,1.0,False
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,4,1.2,True
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,178a2f9f-6d15-485e-a684-dcab469fb886,3,1.0,False
1f73f29e-025f-4545-b7fd-63f44d0f2bb5,488fe6e6-6184-4e1a-962c-149b2aac1dc6,3,1.0,False
9ddb77c4-2a59-431a-82a3-d60f058ddc09,4352cf79-2000-4b4c-a3be-724e8a896174,3,1.2,True
9ddb77c4-2a59-431a-82a3-d60f058ddc09,e68c35f0-8416-427d-89b3-f9dade485651,3,1.2,False
9ddb77c4-2a59-431a-82a3-d60f058ddc09,16c46e6c-223b-4521-8b6e-02686312ccaf,3,1.0,False
9ddb77c4-2a59-431a-82a3-d60f058ddc09,488fe6e6-6184-4e1a-962c-149b2aac1dc6,3,1.0,False
9ddb77c4-2a59-431a-82a3-d60f058ddc09,ab50dc81-1d1e-4856-a3c8-a6bb7c8249b1,3,1.0,False
9ddb77c4-2a59-431a-82a3-d60f058ddc09,13229b41-a1f2-4d2f-91a3-cb4638ce4cef,3,1.0,False
f8b6ccce-e9f2-41a3-9a09-44e9e7c5368c,62fda3ec-9eef-430c-8a1e-fca3eb205e79,4,1.5,True
f8b6ccce-e9f2-41a3-9a09-44e9e7c5368c,a77d6c17-a31e-49fe-ac9f-7bf36800ccf0,3,1.2,False
f8b6ccce-e9f2-41a3-9a09-44e9e7c5368c,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,3,1.2,True
f8b6ccce-e9f2-41a3-9a09-44e9e7c5368c,488fe6e6-6184-4e1a-962c-149b2aac1dc6,3,1.0,False
7ec63567-3e22-41f6-99a6-e7016157aae1,16c46e6c-223b-4521-8b6e-02686312ccaf,4,1.5,True
7ec63567-3e22-41f6-99a6-e7016157aae1,98f1008a-dbc3-4ead-9486-a5e85a66c961,4,1.2,False
7ec63567-3e22-41f6-99a6-e7016157aae1,d8619e4c-70e2-4d9d-acab-8a4ec2af3842,4,1.5,True
7ec63567-3e22-41f6-99a6-e7016157aae1,4352cf79-2000-4b4c-a3be-724e8a896174,3,1.2,False
7ec63567-3e22-41f6-99a6-e7016157aae1,df2c653a-8a63-42ba-b708-bfad266615da,4,1.2,False
7ec63567-3e22-41f6-99a6-e7016157aae1,bdb9b5da-2b2d-408a-9e77-aa304dbf61a8,3,1.0,False
7f868a06-7dcd-45d0-892e-164846104ec3,4352cf79-2000-4b4c-a3be-724e8a896174,4,1.5,True
7f868a06-7dcd-45d0-892e-164846104ec3,bdb9b5da-2b2d-408a-9e77-aa304dbf61a8,4,1.5,True
7f868a06-7dcd-45d0-892e-164846104ec3,69c4b374-e0f9-4322-916c-fc2aca8c7c53,4,1.5,True
7f868a06-7dcd-45d0-892e-164846104ec3,ea31ee4d-610d-4982-a9f0-b402bafb05d8,4,1.2,False
7f868a06-7dcd-45d0-892e-164846104ec3,d8820b57-4f6d-4ea5-908e-9865e6db8b1f,4,1.2,False
7f868a06-7dcd-45d0-892e-164846104ec3,16c46e6c-223b-4521-8b6e-02686312ccaf,3,1.0,False
043abe9c-54a8-4867-ab76-c4261fbfd3c5,4352cf79-2000-4b4c-a3be-724e8a896174,4,1.5,True
043abe9c-54a8-4867-ab76-c4261fbfd3c5,16c46e6c-223b-4521-8b6e-02686312ccaf,4,1.5,True
043abe9c-54a8-4867-ab76-c4261fbfd3c5,e5f1aba6-b645-4ba0-80dd-1a0d184c470d,4,1.5,True
043abe9c-54a8-4867-ab76-c4261fbfd3c5,ac46e3ce-936e-43f1-a213-76616dcd4393,4,1.2,False
043abe9c-54a8-4867-ab76-c4261fbfd3c5,7207a95f-51be-4fbd-ae8f-31fc77f43ffb,3,1.2,False
043abe9c-54a8-4867-ab76-c4261fbfd3c5,178a2f9f-6d15-485e-a684-dcab469fb886,3,1.0,False
d9b92412-1397-4dc9-b3ec-988ddf659128,4352cf79-2000-4b4c-a3be-724e8a896174,4,1.5,True
d9b92412-1397-4dc9-b3ec-988ddf659128,69c4b374-e0f9-4322-916c-fc2aca8c7c53,4,1.5,True
d9b92412-1397-4dc9-b3ec-988ddf659128,88bf48ab-bb09-42e3-9197-986f064d2252,3,1.5,True
d9b92412-1397-4dc9-b3ec-988ddf659128,bdb9b5da-2b2d-408a-9e77-aa304dbf61a8,3,1.2,False
d9b92412-1397-4dc9-b3ec-988ddf659128,16c46e6c-223b-4521-8b6e-02686312ccaf,3,1.0,False
d9b92412-1397-4dc9-b3ec-988ddf659128,178a2f9f-6d15-485e-a684-dcab469fb886,3,1.0,False
1eae1419-4bc5-433f-b789-5888c9766785,4352cf79-2000-4b4c-a3be-724e8a896174,4,1.5,True
1eae1419-4bc5-433f-b789-5888c9766785,df73d56b-0da5-4af6-831f-1b98b9250f00,4,1.5,True
1eae1419-4bc5-433f-b789-5888c9766785,3f040b2d-7d14-49cc-92c9-b3896ffd4699,4,1.5,True
1eae1419-4bc5-433f-b789-5888c9766785,5ace71b6-12ce-4046-b359-157b455cd14d,3,1.2,False
1eae1419-4bc5-433f-b789-5888c9766785,8550a797-0b53-4eea-8f6a-6715159af69e,3,1.2,False
1eae1419-4bc5-433f-b789-5888c9766785,61f83cd2-f4c7-4893-92f6-11580979700b,3,1.2,False
db9a8d16-06ee-4152-94e6-d1d0f73c9224,bd2dd30e-5753-4684-ad8b-defec1f4c6d6,4,1.5,True
db9a8d16-06ee-4152-94e6-d1d0f73c9224,c32e2e45-987e-4fcc-a235-e19584801fe9,3,1.2,False
db9a8d16-06ee-4152-94e6-d1d0f73c9224,178a2f9f-6d15-485e-a684-dcab469fb886,3,1.2,False
db9a8d16-06ee-4152-94e6-d1d0f73c9224,e57a355f-4909-42b1-acf3-ae3970d39423,4,1.2,True
