project_id,skill_id,importance
d88b1690-9eed-4b39-aedc-c912b40c1be1,899f6441-4496-4d57-8cd5-c588956f561b,1.32
d88b1690-9eed-4b39-aedc-c912b40c1be1,4352cf79-2000-4b4c-a3be-724e8a896174,1.01
d88b1690-9eed-4b39-aedc-c912b40c1be1,ac46e3ce-936e-43f1-a213-76616dcd4393,1.14
d88b1690-9eed-4b39-aedc-c912b40c1be1,178a2f9f-6d15-485e-a684-dcab469fb886,1.11
d88b1690-9eed-4b39-aedc-c912b40c1be1,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,1.37
0eba44c7-0055-405d-9660-c012493be2bf,4352cf79-2000-4b4c-a3be-724e8a896174,1.34
0eba44c7-0055-405d-9660-c012493be2bf,ea31ee4d-610d-4982-a9f0-b402bafb05d8,1.45
0eba44c7-0055-405d-9660-c012493be2bf,d8820b57-4f6d-4ea5-908e-9865e6db8b1f,1.04
0eba44c7-0055-405d-9660-c012493be2bf,69c4b374-e0f9-4322-916c-fc2aca8c7c53,1.21
0eba44c7-0055-405d-9660-c012493be2bf,16c46e6c-223b-4521-8b6e-02686312ccaf,1.01
333e2a35-38cc-490b-934d-b8419bfefa38,178a2f9f-6d15-485e-a684-dcab469fb886,1.11
333e2a35-38cc-490b-934d-b8419bfefa38,29712980-fb4c-494d-8317-1defb0da8b25,1.25
333e2a35-38cc-490b-934d-b8419bfefa38,bd2dd30e-5753-4684-ad8b-defec1f4c6d6,1.01
333e2a35-38cc-490b-934d-b8419bfefa38,c32e2e45-987e-4fcc-a235-e19584801fe9,1.1
333e2a35-38cc-490b-934d-b8419bfefa38,93d3bd3d-b72f-4062-a983-f92e0f17d667,1.32
791b2572-0240-4c17-8346-31669043a87b,4352cf79-2000-4b4c-a3be-724e8a896174,1.27
791b2572-0240-4c17-8346-31669043a87b,3f040b2d-7d14-49cc-92c9-b3896ffd4699,1.11
791b2572-0240-4c17-8346-31669043a87b,df73d56b-0da5-4af6-831f-1b98b9250f00,1.29
791b2572-0240-4c17-8346-31669043a87b,5ace71b6-12ce-4046-b359-157b455cd14d,1.4
791b2572-0240-4c17-8346-31669043a87b,8550a797-0b53-4eea-8f6a-6715159af69e,1.0
c32acaa0-a3c1-4867-bf58-4f1b46ce6967,d8619e4c-70e2-4d9d-acab-8a4ec2af3842,1.4
c32acaa0-a3c1-4867-bf58-4f1b46ce6967,16c46e6c-223b-4521-8b6e-02686312ccaf,1.35
c32acaa0-a3c1-4867-bf58-4f1b46ce6967,e5f1aba6-b645-4ba0-80dd-1a0d184c470d,1.17
c32acaa0-a3c1-4867-bf58-4f1b46ce6967,98f1008a-dbc3-4ead-9486-a5e85a66c961,1.08
c32acaa0-a3c1-4867-bf58-4f1b46ce6967,df2c653a-8a63-42ba-b708-bfad266615da,1.48
4053e266-b479-4ad6-8fba-b1ce83778d28,cbd94fcb-d158-472a-97a4-e7aa8efb09b7,1.17
4053e266-b479-4ad6-8fba-b1ce83778d28,f1101892-b628-4d5f-a515-0502665db3fc,1.05
4053e266-b479-4ad6-8fba-b1ce83778d28,f4870654-1f95-42fe-9c57-96db41d2382d,1.05
4053e266-b479-4ad6-8fba-b1ce83778d28,118c74f7-930b-487f-8325-08223167ab57,1.42
5b32654a-2864-416c-b3db-67ff0eca36e3,c9e661cd-37bd-4132-a10b-7a766671ffa0,1.3
5b32654a-2864-416c-b3db-67ff0eca36e3,d43c097b-a776-4490-9272-57f42fffc162,1.4
5b32654a-2864-416c-b3db-67ff0eca36e3,cf646dbe-e071-4074-9f36-2e3e93349c85,1.36
5b32654a-2864-416c-b3db-67ff0eca36e3,4352cf79-2000-4b4c-a3be-724e8a896174,1.27
f5f44dac-c7a3-4d67-845b-34d0340e1006,2b58d681-8e55-478e-b141-3aff29cad0fd,1.49
f5f44dac-c7a3-4d67-845b-34d0340e1006,62fda3ec-9eef-430c-8a1e-fca3eb205e79,1.19
f5f44dac-c7a3-4d67-845b-34d0340e1006,a77d6c17-a31e-49fe-ac9f-7bf36800ccf0,1.28
f5f44dac-c7a3-4d67-845b-34d0340e1006,582f5336-44d1-44f8-bcca-c9db9972324f,1.41
f5f44dac-c7a3-4d67-845b-34d0340e1006,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,1.31
